QUERY;AVERAGE_PRECISION_QUERY;NDCG
99 balloons;0.275;0.7134078354905564
Apple;0.1;1.0
Computer Programming;0.0;0
DNA;0.1;0.5
Do geese see god;0.07916666666666666;1.0
Epigenetics;0.3;0.9427478043788186
Eye of Horus;0.16333333333333333;0.9737576937588317
Financial meltdown;0.14222222222222222;0.6565649385020459
Hollywood;0.05111111111111111;0.6666666666666666
Justin Timberlake;0.38722222222222225;0.6463693456206888
Least Squares;0.16666666666666666;1.0
Madam I'm Adam;0.12;1.0
Mars robots;0.04107142857142857;0.40876468265396737
Maya;0.35428571428571426;0.500654850263285
Mean Average Precision;0.06666666666666667;0.8630929753571458
Microsoft;0.29500000000000004;0.47785978590552586
Much ado about nothing;0.12916666666666665;0.6014731057666641
Page six;0.18857142857142856;0.9268989817336446
Physics Nobel Prizes;0.3472222222222222;0.5509519963029723
Precision;0.08666666666666667;0.49742762323941453
Read the manual;0.06666666666666667;0.8861353116146786
Roman Empire;0.03333333333333333;0.6309297535714575
Solar energy;0.1;1.0
Spanish Civil War;0.28928571428571426;0.5262857990885521
Statistical Significance;0.4780952380952381;0.9089165710391937
Steve Jobs;0.12857142857142856;0.9141412346255114
The Maya;0.1;0.38685280723454163
Triple Cross;0.5416666666666667;0.8382985713457283
Tuscany;0.03333333333333333;0.43067655807339306
US Constitution;0.11607142857142856;0.4807595497722639


MAP;0.1760132275132275
